,timestamp,question_title,chapter_id,correct_answer,distractor_1,distractor_2,distractor_3,source,author
0,10/04/2024 23:04:19,Which of the following was mentioned as a skill to which psychology students would be exposed?,1,all other options are correct,critical thinking,use of the scientific method,critical evaluation of sources of information,Book,
1,10/04/2024 23:04:19,"Before psychology became a recognized academic discipline, matters of the mind were undertaken by those in ________.",1,philosophy,biology,chemistry,physics,Book,
2,10/04/2024 23:04:19,"In the scientific method, a hypothesis is a(n) ________.",1,proposed explanation,observation,measurement,test,Book,
3,10/04/2024 23:04:19,"Based on your reading, which theorist would have been most likely to agree with this statement: Perceptual phenomena are best understood as a combination of their components.",1,Max Wertheimer,William James,Carl Rogers,Noam Chomsky,Book,
4,10/04/2024 23:04:19,________ is most well-known for proposing his hierarchy of needs.,1,Abraham Maslow,Noam Chomsky,Carl Rogers,Sigmund Freud,Book,
5,10/04/2024 23:04:19,"Rogers believed that providing genuineness, empathy, and ________ in the therapeutic environment for his clients was critical to their being able to deal with their problems.",1,unconditional positive regard,structuralism,functionalism,Gestalt,Book,
6,10/04/2024 23:04:19,The operant conditioning chamber (aka ________ box) is a device used to study the principles of operant conditioning.,1,Skinner,Watson,James,Koffka,Book,
7,10/04/2024 23:06:08,A researcher interested in how changes in the cells of the hippocampus (a structure in the brain related to learning and memory) are related to memory formation would be most likely to identify as a(n) ________ psychologist.,1,biological,health,clinical,social,Book,
8,10/04/2024 23:06:08,An individual’s consistent pattern of thought and behavior is known as a(n) ________.,1,personality,psychosexual stage,object permanence,perception,Book,
9,10/04/2024 23:06:08,"In Milgram’s controversial study on obedience, nearly ________ of the participants were willing to administer what appeared to be lethal electrical shocks to another person because they were told to do so by an authority figure.",1,2/3,1/3,3/4,4/5,Book,
10,10/04/2024 23:06:08,A researcher interested in what factors make an employee best suited for a given job would most likely identify as a(n) ________ psychologist.,1,I-O,personality,clinical,social,Book,
11,10/04/2024 23:06:08,"If someone wanted to become a psychology professor at a 4-year college, they would probably need a ________ degree in psychology.",1,PhD,bachelor of science,bachelor of art,master’s,Book,
12,10/04/2024 23:06:08,The ________ places less emphasis on research and more emphasis on application of therapeutic skills.,1,PsyD,PhD,postdoctoral training program,dissertation,Book,
13,10/04/2024 23:06:08,Which of the following degrees would be the minimum required to teach psychology courses in high school?,1,bachelor’s degree,PhD,PsyD,master’s degree,Book,
14,10/04/2024 23:06:57,Scientific hypotheses are ________ and falsifiable.,2,testable,observable,original,provable,Book,
15,10/04/2024 23:06:57,________ are defined as observable realities.,2,facts,behaviors,opinions,theories,Book,
16,10/04/2024 23:06:57,Scientific knowledge is ________.,2,empirical,intuitive,permanent,subjective,Book,
17,10/04/2024 23:06:57,A major criticism of Freud’s early theories involves the fact that his theories ________.,2,were not testable,were too limited in scope,were too outrageous,were too broad,Book,
18,10/04/2024 23:06:57,Sigmund Freud developed his theory of human personality by conducting in-depth interviews over an extended period of time with a few clients. This type of research approach is known as a(n): ________.,2,case study,archival research,naturalistic observation,survey,Book,
19,10/04/2024 23:06:57,________ involves observing behavior in individuals in their natural environments.,2,naturalistic observation,archival research,case study,survey,Book,
20,10/04/2024 23:06:57,The major limitation of case studies is ________.,2,the inability to generalize the findings from this approach to the larger population,the superficial nature of the information collected in this approach,the lack of control that the researcher has in this approach,the absence of inter-rater reliability,Book,
21,10/04/2024 23:06:57,The benefit of naturalistic observation studies is ________.,2,the honesty of the data that is collected in a realistic setting,how quick and easy these studies are to perform,the researcher’s capacity to make sure that data is collected as efficiently as possible,the ability to determine cause and effect in this particular approach,Book,
22,10/04/2024 23:08:05,Using existing records to try to answer a research question is known as ________.,2,archival research,naturalistic observation,survey research,longitudinal research,Book,
23,10/04/2024 23:08:05,________ involves following a group of research participants for an extended period of time.,2,longitudinal research,archival research,naturalistic observation,cross-sectional research,Book,
24,10/04/2024 23:08:05,A(n) ________ is a list of questions developed by a researcher that can be administered in paper form.,2,survey,archive,case study,naturalistic observation,Book,
25,10/04/2024 23:08:05,Longitudinal research is complicated by high rates of ________.,2,attrition,deception,observation,generalization,Book,
26,10/04/2024 23:08:05,Height and weight are positively correlated. This means that:,2,"As height increases, typically weight increases.",There is no relationship between height and weight.,"Usually, the taller someone is, the thinner they are.","Usually, the shorter someone is, the heavier they are.",Book,
27,10/04/2024 23:08:05,Which of the following correlation coefficients indicates the strongest relationship between two variables?,2,–.90,–.50,0.8,0.25,Book,
28,10/04/2024 23:08:05,Which statement best illustrates a negative correlation between the number of hours spent watching TV the week before an exam and the grade on that exam?,2,Students who watch more television perform more poorly on their exams.,Watching too much television leads to poor exam performance.,Smart students watch less television.,Viewing television interferes with a student’s ability to prepare for the upcoming exam.,Book,
29,10/04/2024 23:08:05,The correlation coefficient indicates the weakest relationship when ________.,2,it is closest to 0,it is closest to -1,it is positive,it is negative,Book,
30,10/04/2024 23:09:21,________ means that everyone in the population has the same likelihood of being asked to participate in the study.,2,random sampling,operationalizing,placebo effect,random assignment,Book,
31,10/04/2024 23:09:21,"The ________ is controlled by the experimenter, while the ________ represents the information collected and statistically analyzed by the experimenter.",2,independent variable; dependent variable,dependent variable; independent variable,placebo effect; experimenter bias,experiment bias; placebo effect,Book,
32,10/04/2024 23:09:21,Researchers must ________ important concepts in their studies so others would have a clear understanding of exactly how those concepts were defined.,2,operationalize,randomly assign,randomly select,generalize,Book,
33,10/04/2024 23:09:21,"Sometimes, researchers will administer a(n) ________ to participants in the control group to control for the effects that participant expectation might have on the experiment.",2,placebo,dependent variable,independent variable,statistical analysis,Book,
34,10/04/2024 23:09:21,________ is to animal research as ________ is to human research.,2,IACUC; IRB,informed consent; deception,IRB; IACUC,deception; debriefing,Book,
35,10/04/2024 23:09:21,Researchers might use ________ when providing participants with the full details of the experiment could skew their responses.,2,deception,informed consent,ethics,debriefing,Book,
36,10/04/2024 23:09:21,A person’s participation in a research project must be ________.,2,voluntary,random,rewarded,public,Book,
37,10/04/2024 23:09:21,"Before participating in an experiment, individuals should read and sign the ________ form.",2,informed consent,debriefing,IRB,ethics,Book,
38,10/04/2024 23:10:59,"A(n) ________ is a sudden, permanent change in a sequence of DNA.",3,mutation,allele,chromosome,epigenetic,Book,
39,10/04/2024 23:10:59,"________ refers to a person’s genetic makeup, while ________ refers to a person’s physical characteristics.",3,Genotype; phenotype,Phenotype; genotype,DNA; gene,Gene; DNA,Book,
40,10/04/2024 23:10:59,________ is the field of study that focuses on genes and their expression.,3,Epigenetics,Social psychology,Evolutionary psychology,Behavioral neuroscience,Book,
41,10/04/2024 23:10:59,Humans have ________ pairs of chromosomes.,3,23,15,46,78,Book,
42,10/04/2024 23:10:59,The ________ receive(s) incoming signals from other neurons.,3,dendrites,soma,terminal buttons,myelin sheath,Book,
43,10/04/2024 23:10:59,A(n) ________ facilitates or mimics the activity of a given neurotransmitter system.,3,agonist,axon,SSRI,antagonist,Book,
44,10/04/2024 23:10:59,Multiple sclerosis involves a breakdown of the ________.,3,myelin sheath,soma,synaptic vesicles,dendrites,Book,
45,10/04/2024 23:10:59,An action potential involves Na+ moving ________ the cell and K+ moving ________ the cell.,3,inside; outside,outside; inside,inside; inside,outside; outside,Book,
46,10/04/2024 23:10:59,Our ability to make our legs move as we walk across the room is controlled by the ________ nervous system.,3,somatic,autonomic,sympathetic,parasympathetic,Book,
47,10/04/2024 23:10:59,"If your ________ is activated, you will feel relatively at ease.",3,parasympathetic nervous system,somatic nervous system,sympathetic nervous system,spinal cord,Book,
48,10/04/2024 23:11:27,The central nervous system is comprised of ________.,3,brain and spinal cord,sympathetic and parasympathetic nervous systems,organs and glands,somatic and autonomic nervous systems,Book,
49,10/04/2024 23:11:27,Sympathetic activation is associated with ________.,3,both pupil dilation and increased heart rate,pupil dilation,storage of glucose in the liver,increased heart rate,Book,
50,10/04/2024 23:11:27,"The ________ is a sensory relay station where all sensory information, except for smell, goes before being sent to other areas of the brain for further processing.",3,thalamus,amygdala,hippocampus,hypothalamus,Book,
51,10/04/2024 23:11:27,"Damage to the ________ disrupts one’s ability to comprehend language, but it leaves one’s ability to produce words intact.",3,Wernicke’s Area,amygdala,Broca’s Area,occipital lobe,Book,
52,10/04/2024 23:11:27,A(n) ________ uses magnetic fields to create pictures of a given tissue.,3,MRI,EEG,PET scan,CT scan,Book,
53,10/04/2024 23:11:27,Which of the following is not a structure of the forebrain?,3,substantia nigra,thalamus,hippocampus,amygdala,Book,
54,10/04/2024 23:11:27,The two major hormones secreted from the pancreas are:,3,glucagon and insulin,estrogen and progesterone,norepinephrine and epinephrine,thyroxine and oxytocin,Book,
55,10/04/2024 23:11:27,The ________ secretes messenger hormones that direct the function of the rest of the endocrine glands.,3,pituitary,ovary,thyroid,pancreas,Book,
56,10/04/2024 23:11:44,The ________ gland secretes epinephrine.,3,adrenal,thyroid,pituitary,master,Book,
57,10/04/2024 23:11:44,The ________ secretes hormones that regulate the body’s fluid levels.,3,thyroid,pituitary,testes,adrenal,Book,
58,10/04/2024 23:16:31,The body’s biological clock is located in the ________.,4,hypothalamus,hippocampus,thalamus,pituitary gland,Book,
59,10/04/2024 23:16:31,________ occurs when there is a chronic deficiency in sleep.,4,sleep debt,jet lag,rotating shift work,circadian rhythm,Book,
60,10/04/2024 23:16:31,________ cycles occur roughly once every 24 hours.,4,circadian,biological,rotating,conscious,Book,
61,10/04/2024 23:16:31,________ is one way in which people can help reset their biological clocks.,4,Light-dark exposure,coffee consumption,alcohol consumption,napping,Book,
62,10/04/2024 23:16:31,Growth hormone is secreted by the ________ while we sleep.,4,pituitary gland,pineal gland,thyroid,pancreas,Book,
63,10/04/2024 23:16:31,The ________ plays a role in controlling slow-wave sleep.,4,both hypothalamus and thalamus,hypothalamus,thalamus,pons,Book,
64,10/04/2024 23:16:31,________ is a hormone secreted by the pineal gland that plays a role in regulating biological rhythms and immune function.,4,melatonin,growth hormone,LH,FSH,Book,
65,10/04/2024 23:17:06,________ appears to be especially important for enhanced performance on recently learned tasks.,4,slow-wave sleep,melatonin,sleep deprivation,growth hormone,Book,
66,10/04/2024 23:17:06,________ is(are) described as slow-wave sleep.,4,stage 3 and stage 4,stage 1,stage 2,REM sleep,Book,
67,10/04/2024 23:17:06,Sleep spindles and K-complexes are most often associated with ________ sleep.,4,stage 2,stage 1,stage 3 and stage 4,REM,Book,
68,10/04/2024 23:17:06,Symptoms of ________ may be improved by REM deprivation.,4,depression,schizophrenia,Parkinson’s disease,generalized anxiety disorder,Book,
69,10/04/2024 23:17:06,The ________ content of a dream refers to the true meaning of the dream.,4,latent,manifest,collective unconscious,important,Book,
70,10/04/2024 23:17:06,________ is loss of muscle tone or control that is often associated with narcolepsy.,4,cataplexy,RBD,CPAP,insomnia,Book,
71,10/04/2024 23:17:06,An individual may suffer from ________ if there is a disruption in the brain signals that are sent to the muscles that regulate breathing.,4,central sleep apnea,obstructive sleep apnea,narcolepsy,SIDS,Book,
72,10/04/2024 23:17:06,The most common treatment for ________ involves the use of amphetamine-like medications.,4,narcolepsy,sleep apnea,RBD,SIDS,Book,
73,10/04/2024 23:18:32,________ is another word for sleepwalking.,4,somnambulism,insomnia,cataplexy,narcolepsy,Book,
74,10/04/2024 23:18:32,________ occurs when a drug user requires more and more of a given drug in order to experience the same effects of the drug.,4,tolerance,withdrawal,psychological dependence,reuptake,Book,
75,10/04/2024 23:18:32,Cocaine blocks the reuptake of ________.,4,dopamine,GABA,glutamate,acetylcholine,Book,
76,10/04/2024 23:18:32,________ refers to drug craving.,4,psychological dependence,antagonism,agonism,physical dependence,Book,
77,10/04/2024 23:18:32,LSD affects ________ neurotransmission.,4,serotonin,dopamine,acetylcholine,norepinephrine,Book,
78,10/04/2024 23:18:32,________ is most effective in individuals that are very open to the power of suggestion.,4,hypnosis,meditation,mindful awareness,cognitive therapy,Book,
79,10/04/2024 23:18:32,________ has its roots in religious practice.,4,meditation,hypnosis,cognitive therapy,behavioral therapy,Book,
80,10/04/2024 23:18:32,Meditation may be helpful in ________.,4,both pain management and stress control,pain management,stress control,treating the flu,Book,
81,10/04/2024 23:19:58,"Research suggests that cognitive processes, such as learning, may be affected by ________.",4,hypnosis,meditation,mindful awareness,progressive relaxation,Book,
82,10/04/2024 23:19:58,______ refers to the minimum amount of stimulus energy required to be detected 50% of the time.,5,absolute threshold,difference threshold,just noticeable difference,transduction,Book,
83,10/04/2024 23:19:58,Decreased sensitivity to an unchanging stimulus is known as ________.,5,sensory adaptation,transduction,difference threshold,inattentional blindness,Book,
84,10/04/2024 23:19:58,________ involves the conversion of sensory stimulus energy into neural impulses.,5,transduction,sensory adaptation,inattentional blindness,difference threshold,Book,
85,10/04/2024 23:19:58,"________ occurs when sensory information is organized, interpreted, and consciously experienced.",5,perception,sensation,transduction,sensory adaptation,Book,
86,10/04/2024 23:19:58,Which of the following correctly matches the pattern in our perception of color as we move from short wavelengths to long wavelengths?,5,red to orange to yellow,yellow to orange to red,yellow to red to orange,orange to yellow to red,Book,
87,10/04/2024 23:21:48,The visible spectrum includes light that ranges from about ________.,5,400–700 nm,200–900 nm,20–20000 Hz,10–20 dB,Book,
88,10/04/2024 23:21:48,The electromagnetic spectrum includes ________.,5,all other options are correct,radio waves,x-rays,infrared light,Book,
89,10/04/2024 23:21:48,The audible range for humans is ________.,5,"20-20,000 Hz",380–740 Hz,10–20 dB,less than 300 dB,Book,
90,10/04/2024 23:21:48,"The quality of a sound that is affected by frequency, amplitude, and timing of the sound wave is known as ________.",5,timbre,pitch,tone,electromagnetic,Book,
91,10/04/2024 23:21:48,The ________ is a small indentation of the retina that contains cones.,5,fovea,optic chiasm,optic nerve,iris,Book,
92,10/04/2024 23:21:48,________ operate best under bright light conditions.,5,cones,rods,retinal ganglion cells,striate cortex,Book,
93,10/04/2024 23:21:48,________ depth cues require the use of both eyes.,5,binocular,monocular,linear perspective,accommodating,Book,
94,10/04/2024 23:21:48,"If you were to stare at a green dot for a relatively long period of time and then shift your gaze to a blank white screen, you would see a ________ negative afterimage.",5,red,blue,yellow,black,Book,
95,10/04/2024 23:22:19,Hair cells located near the base of the basilar membrane respond best to ________ sounds.,5,high-frequency,low-frequency,low-amplitude,high-amplitude,Book,
96,10/04/2024 23:22:19,The three ossicles of the middle ear are known as ________.,5,"both malleus, incus, and stapes & hammer, anvil, and stirrup","hammer, anvil, and stirrup","pinna, cochlea, and utricle","malleus, incus, and stapes",Book,
97,10/04/2024 23:22:19,Hearing aids might be effective for treating ________.,5,sensorineural hearing loss,Ménière's disease,conductive hearing loss,interaural time differences,Book,
98,10/04/2024 23:22:19,Cues that require two ears are referred to as ________ cues.,5,binaural,monocular,monaural,binocular,Book,
99,10/04/2024 23:22:19,Chemical messages often sent between two members of a species to communicate something about reproductive status are called ________.,5,pheromones,hormones,Merkel’s disks,Meissner’s corpuscles,Book,
100,10/04/2024 23:22:19,Which taste is associated with monosodium glutamate?,5,umami,sweet,bitter,sour,Book,
101,10/04/2024 23:22:19,________ serve as sensory receptors for temperature and pain stimuli.,5,free nerve endings,Pacinian corpuscles,Ruffini corpuscles,Meissner’s corpuscles,Book,
102,10/04/2024 23:22:19,Which of the following is involved in maintaining balance and body posture?,5,vestibular system,auditory nerve,nociceptors,olfactory bulb,Book,
103,10/04/2024 23:22:42,"According to the principle of ________, objects that occur close to one another tend to be grouped together.",5,proximity,similarity,good continuation,closure,Book,
104,10/04/2024 23:22:42,Our tendency to perceive things as complete objects rather than as a series of parts is known as the principle of ________.,5,closure,good continuation,proximity,similarity,Book,
105,10/04/2024 23:22:42,"According to the law of ________, we are more likely to perceive smoothly flowing lines rather than choppy or jagged lines.",5,good continuation,closure,proximity,similarity,Book,
106,10/04/2024 23:22:42,The main point of focus in a visual display is known as the ________.,5,figure,closure,perceptual set,ground,Book,
107,10/04/2024 23:23:26,Which of the following is an example of a reflex that occurs at some point in the development of a human being?,6,infant sucking on a nipple,child riding a bike,teen socializing,toddler walking,Book,
108,10/04/2024 23:23:26,Learning is best defined as a relatively permanent change in behavior that ________.,6,occurs as a result of experience,is innate,is found only in humans,occurs by observing others,Book,
109,10/04/2024 23:23:26,Two forms of associative learning are ________ and ________.,6,classical conditioning; operant conditioning,classical conditioning; Pavlovian conditioning,operant conditioning; observational learning,operant conditioning; learning conditioning,Book,
110,10/04/2024 23:23:26,In ________ the stimulus or experience occurs before the behavior and then gets paired with the behavior.,6,classical conditioning,associative learning,observational learning,operant conditioning,Book,
111,10/04/2024 23:23:26,A stimulus that does not initially elicit a response in an organism is a(n) ________.,6,neutral stimulus,unconditioned stimulus,conditioned stimulus,unconditioned response,Book,
112,10/04/2024 23:23:26,"In Watson and Rayner’s experiments, Little Albert was conditioned to fear a white rat, and then he began to be afraid of other furry white objects. This demonstrates ________.",6,stimulus generalization,higher order conditioning,acquisition,stimulus discrimination,Book,
113,10/04/2024 23:23:44,Extinction occurs when ________.,6,the conditioned stimulus is presented repeatedly without being paired with an unconditioned stimulus,the unconditioned stimulus is presented repeatedly without being paired with a conditioned stimulus,the neutral stimulus is presented repeatedly without being paired with an unconditioned stimulus,the neutral stimulus is presented repeatedly without being paired with a conditioned stimulus,Book,
114,10/04/2024 23:23:44,"In Pavlov’s work with dogs, the psychic secretions were ________.",6,conditioned responses,unconditioned responses,unconditioned stimuli,conditioned stimuli,Book,
115,10/04/2024 23:23:44,________ is when you take away a pleasant stimulus to stop a behavior.,6,negative punishment,positive reinforcement,negative reinforcement,positive punishment,Book,
116,10/04/2024 23:24:08,Which of the following is not an example of a primary reinforcer?,6,money,food,water,sex,Book,
117,10/04/2024 23:24:08,Rewarding successive approximations toward a target behavior is ________.,6,shaping,extinction,positive reinforcement,negative reinforcement,Book,
118,10/04/2024 23:24:08,Slot machines reward gamblers with money according to which reinforcement schedule?,6,variable ratio,fixed ratio,fixed interval,variable interval,Book,
119,10/04/2024 23:24:08,The person who performs a behavior that serves as an example is called a ________.,6,model,teacher,instructor,coach,Book,
120,10/04/2024 23:24:08,"In Bandura’s Bobo doll study, when the children who watched the aggressive model were placed in a room with the doll and other toys, they ________.",6,kicked and threw the doll,ignored the doll,played nicely with the doll,played with tinker toys,Book,
121,10/04/2024 23:24:08,Which is the correct order of steps in the modeling process?,6,"attention, retention, reproduction, motivation","motivation, attention, reproduction, retention","attention, motivation, retention, reproduction","motivation, attention, retention, reproduction",Book,
122,10/04/2024 23:24:08,Who proposed observational learning?,6,Albert Bandura,Ivan Pavlov,John Watson,B. F. Skinner,Book,
